question,answer,comment,instruction
"痕
sample words:
疵痕
爪痕
にきび痕",あと,"痕:mark; footprint
疵痕(きずあと):scar
爪痕(つめあと):scars (e.g. of war); scratch; fingernail mark; af.
にきび痕(にきびあと):pockmark (caused by a pimple); acne scarring",Jouyou.
"箸
sample words:
箸初め
箸台
火箸",はし,"箸:chopsticks
箸初め(はしぞめ):weaning ceremony
箸台(はしだい):chopstick rest
火箸(ひばし):long metal chopsticks (for handling charcoal, esp.",Jouyou.
"籠
sample words:
御忍び駕籠
駕籠かき
手籠",かご,"籠:cage, coop; basket; seclude oneself, be confined .
御忍び駕籠(おしのびかご):special palanquin for carrying a daimyo or his wi.
駕籠かき(かごかき):palanquin bearer; sedan chair bearer
手籠(てかご):handbasket",Jouyou.
"羞
sample words:
羞い
羞じらう",はじ,"羞:feel ashamed
羞い(はじらい):shyness
羞じらう(はじらう):to feel shy; to blush; to be bashful",Jouyou.
"肘
sample words:
てにす肘
肘打ち
肘掛いす",ひじ,"肘:elbow; arm (of something)
てにす肘(てにすひじ):tennis elbow
肘打ち(ひじうち):elbow strike (karate)
肘掛いす(ひじかけいす):senior staff; armchair; chair with arm rests",Jouyou.
"股
sample words:
外股
半股引き
股白蝙蝠",もも,"股:crotch, thigh, groin
外股(そともも):outer thigh
半股引き(はんももひき):knee underwear
股白蝙蝠(ももじろこうもり):Japanese large-footed bat; big-footed myotis (Myo.",Jouyou.
"股
sample words:
小股掬い
素股
股木",また,"股:crotch, thigh, groin
小股掬い(こまたすくい):over-thigh scooping body drop
素股(すまた):bare thighs; inner thigh; intercrural sex
股木(またぎ):forked branch; forked tree",Jouyou.
"脇
sample words:
脇明け
脇毛
脇戸",わき,"脇:the other way; another place; side, armpit, flank.
脇明け(わきあけ):clothing with such an opening (usu. worn by women.....
脇毛(わきげ):armpit hair; underarm hair
脇戸(わきど):side door",Jouyou.
"脊
sample words:
脊負う
脊負う
脊広",せ,"脊:stature, height
脊負う(しょう):to have (something) in the background; to be in f...
脊負う(せおう):to be conceited; to be burdened with; to be in fr...
脊広(せびろ):business suit",Jouyou.
"膝
sample words:
片膝
小膝
膝かっくん",ひざ,"膝:knee; lap
片膝(かたひざ):one knee
小膝(こひざ):knee
膝かっくん(ひざかっくん):knee dislocation; making someone's knees bend (by..",Jouyou.
"臼
sample words:
臼歯
大臼",うす,"臼:mortar, hand mill
臼歯(うすば):molar
大臼(だいうす):God",Jouyou.
"葛
sample words:
熊葛科
葛籠",つづら,"葛:arrowroot; arrowroot starch
熊葛科(くまつづらか):Verbenaceae (vervain family of plants)
葛籠(つづらこ):wicker clothes hamper",Jouyou.
"葛
sample words:
葛切り
葛粉
葛湯",くず,"葛:arrowroot; arrowroot starch
葛切り(くずきり):kudzu starch noodles
葛粉(くずこ):kudzu starch
葛湯(くずゆ):kudzu starch gruel",Jouyou.
"蓋
sample words:
落とし蓋
綴じ蓋
火蓋",ふた,"蓋:cover, lid, flap, hood
落とし蓋(おとしぶた):lid resting directly on food; wooden drop-lid for.
綴じ蓋(とじぶた):mended lid
火蓋(ひぶた):cover for the touch-hole on a cannon or matchlock.",Jouyou.
"蜂
sample words:
あんな蜂鳥
樹蜂
たま蜂",はち,"蜂:bee, wasp, hornet
あんな蜂鳥(あんなはちどり):Anna's woodpecker (Calypte anna)
樹蜂(きばち):wood wasp
たま蜂(たまばち):gall wasp (any insect of family Cynipidae)",Jouyou.
"袖
sample words:
小袖
袖壁
袖乞い",そで,"袖:sleeve, sleeve pocket; wing(of a building); exten.
小袖(こそで):short sleeved kimono (worn as an undergarment dur.
袖壁(そでかべ):wing wall
袖乞い(そでごい):beggar",Jouyou.
"裾
sample words:
お裾分け
裾刈り
裾取り",すそ,"裾:cuff(of trousers); hem (of a skirt); foot (of a m.
お裾分け(おすそわけ):sharing a portion of the profit with others; shar.
裾刈り(すそがり):trimming hair
裾取り(すそとり):ankle pick",Jouyou.
"誰
sample words:
誰か
誰が見ても
誰しも",だれ,"誰:who
誰か(だれか):someone; somebody
誰が見ても(だれがみても):as anyone can see
誰しも(だれしも):no one; anyone; everyone",Jouyou.
"誰
sample words:
誰が為に",た,"誰:who
誰が為に(たがために):for whom",Jouyou.
"誰
sample words:
誰彼
誰しも
誰誰",たれ,"誰:who
誰彼(たれかれ):anybody; many people; this or that person
誰しも(たれしも):no one; anyone; everyone
誰誰(だれだれ):so-and-so; who?; which people?",Jouyou.
"謎
sample words:
謎い
謎掛け
謎謎",なぞ,"謎:riddle, puzzle, enigma; hint, tip
謎い(なぞい):perplexing; bewildering; puzzling; baffling; myst.
謎掛け(なぞかけ):telling a riddle
謎謎(なぞなぞ):riddle; enigma; puzzle",Jouyou.
"賭
sample words:
賭け碁
賭事
賭け事師",かけ,"賭:wager, place a bet
賭け碁(かけご):playing go for stakes
賭事(かけごと):gambling; betting
賭け事師(かけごとし):gambler; gamester",Jouyou.
"釜
sample words:
御釜を掘る
釜場
釜を掘る",かま,"釜:kettle, cauldron, iron pot; bioler
御釜を掘る(おかまをほる):to crash a car into the back of another; to perfo..
釜場(かまば):boiler room
釜を掘る(かまをほる):to sodomise; to sodomize; to bugger; to crash a c..",Jouyou.
"鍋
sample words:
鰻鍋
きむち鍋
手鍋",なべ,"鍋:pan, pot, kettle
鰻鍋(うなべ):eel stew
きむち鍋(きむちなべ):kimchi hot pot
手鍋(てなべ):pan",Jouyou.
"鍵
sample words:
鍵開け
鍵っ子
鍵の配布",かぎ,"鍵:key
鍵開け(かぎあけ):lock-picking; lock-opening
鍵っ子(かぎっこ):latchkey child; latchkey kid
鍵の配布(かぎのはいふ):key distribution",Jouyou.
"闇
sample words:
愚痴の闇
闇かるてる
闇路",やみ,"闇:darkness; grief, gloom; disorder, black market
愚痴の闇(ぐちのやみ):the darkness of ignorance
闇かるてる(やみかるてる):unauthorized cartel; unauthorised cartel
闇路(やみじ):dark road",Jouyou.
"隙
sample words:
手間隙
隙人",ひま,"隙:time; leisure; gap, crack; room, space; chance; u.
手間隙(てまひま):time and effort; trouble
隙人(ひまじん):person with a lot of free time on their hands; id.",Jouyou.
"頃
sample words:
あの頃
終わり頃
この頃様",ころ,"頃:time, period. about (regarding time)
あの頃(あのころ):in those days
終わり頃(おわりごろ):toward the end
この頃様(このごろよう):modern; up-to-date; latest",Jouyou.
"頃
sample words:
何時頃
後ろ身頃
今日此頃",ごろ,"頃:time, period. about (regarding time)
何時頃(いつごろ):about when; about what time; how soon
後ろ身頃(うしろみごろ):back part of a kimono
今日此頃(きょうこのごろ):recently; nowadays; these days",Jouyou.
"頬
sample words:
頬笑み
頬笑む
頬桁",ほお,"頬:cheek
頬笑み(ほおえみ):smile
頬笑む(ほおえむ):to smile
頬桁(ほおげた):cheekbone",Jouyou.
"頬
sample words:
頬笑む
頬が緩む
頬白鮫",ほほ,"頬:cheek
頬笑む(ほほえむ):to smile
頬が緩む(ほほがゆるむ):to grin
頬白鮫(ほほじろざめ):white pointer (Carcharodon carcharias); great whi.",Jouyou.
"餅
sample words:
お餅
鹿の子餅
蒸し餅",もち,"餅:rice cake
お餅(おもち):pounded mochi rice; rice cakes
鹿の子餅(かのこもち):mochi containing red bean paste
蒸し餅(むしもち):steamed mochi",Jouyou.
"餅
sample words:
五十日の餅
椿餅
環餅",もちい,"餅:rice cake
五十日の餅(いかのもちい):mochi used for the celebration of a child's fifti.
椿餅(つばいもちい):rice-cake sweet sandwiched between two camellia l.
環餅(まがりもちい):pastry made of dough pulled into various shapes a.",Jouyou.
"餌
sample words:
活餌
魚の餌科",え,"餌:feed, food; bait, prey; tempting profit
活餌(いきえ):live bait
魚の餌科(うおのえか):Cymothoidae (family of isopods)",Jouyou.
"餌
sample words:
餌場
餌遣り
釣餌",えさ,"餌:feed, food; bait, prey; tempting profit
餌場(えさば):feeding ground
餌遣り(えさやり):feeding (animals); provisioning
釣餌(つりえさ):bait (for fishing)",Jouyou.
"刀
sample words:
おっとり刀
刀掛け
刀を打つ",かたな,"刀:sword, blade
おっとり刀(おっとりがたな):rushing to an emergency with sword in hand, not h...
刀掛け(かたなかけ):sword rack
刀を打つ(かたなをうつ):to forge a sword; to temper a sword",Jouyou. JLPT : N1
"弓
sample words:
弓師
弓なり
弓形になる",ゆみ,"弓:bow; archery; violin bow; bow shape
弓師(ゆみし):bowyer; bow maker
弓なり(ゆみなり):segment (of a circle); arch; arc; bow shape
弓形になる(ゆみなりになる):to bend backward; to arch; to be curved; to becom.",Jouyou. JLPT : N1
"矢
sample words:
掛け矢
根矢
無理矢理",や,"矢:arrow
掛け矢(かけや):mallet
根矢(ねや):arrowhead
無理矢理(むりやり):by force; against one's will; forcibly",Jouyou. JLPT : N1
"笛
sample words:
口笛を吹く
喉笛
薔薇笛鯛",ふえ,"笛:flute, pipe, clarinet, whistle, fife, pitch pipe,.
口笛を吹く(くちぶえをふく):to whistle
喉笛(のどぶえ):windpipe
薔薇笛鯛(ばらふえだい):two-spot red snapper (Lutjanus bohar)",Jouyou. JLPT : N1
"羊
sample words:
子羊
羊飼い
羊小屋",ひつじ,"羊:sheep
子羊(こひつじ):lamb
羊飼い(ひつじかい):shepherd; shepherdess
羊小屋(ひつじごや):sheepfold",Jouyou. JLPT : N1
"詩
sample words:
悪魔の詩
漢詩",うた,"詩:poem, poetry
悪魔の詩(あくまのうた):The Satanic Verses (novel by Salman Rushdie)
漢詩(からうた):Chinese poem",Jouyou. JLPT : N1
"豆
sample words:
かかお豆
からばる豆
こひ豆",まめ,"豆:beans, peas, pulse
かかお豆(かかおまめ):cocoa bean; cacao bean
からばる豆(からばるまめ):ordeal bean; calabar bean
こひ豆(こひまめ):coffee bean",Jouyou. JLPT : N1
"倉
sample words:
小倉あいす
お倉入り
倉入れ",くら,"倉:warehouse, godown; cellar; depository, treasury; .
小倉あいす(おぐらあいす):ice cream mixed with adzuki bean paste
お倉入り(おくらいり):being put on hold; being withheld from publicatio..
倉入れ(くらいれ):warehousing; storing in a warehouse",Jouyou. JLPT : N1
"器
sample words:
器が大きい
器の大きい
器物",うつわ,"器:vessel, receptacle, utensil, implement, instrumen.
器が大きい(うつわがおおきい):big; open-minded; mature; accepting; big-hearted;.
器の大きい(うつわのおおきい):accepting; open-minded; flexible; mature; big-hea.
器物(うつわもの):implement; ability; talent; container; calibre; p..",Jouyou. JLPT : N1
"士
sample words:
地士
西向く士",さむらい,"士:samurai; man, gentleman; scholar
地士(じざむらい):provincial samurai in the middle ages, who engage.
西向く士(にしむくさむらい):nishimuku samurai (mnemonic for remembering the m.",Jouyou. JLPT : N1
"巣
sample words:
巣引き
巣雛
巣雛",す,"巣:nest, rookery, breeding place, beehive, cobweb; d.
巣引き(すびき):setting (of a hen)
巣雛(すひな):nestling
巣雛(すびな):nestling",Jouyou. JLPT : N1
"旗
sample words:
小旗
旗日
旗振り",はた,"旗:flag, banner, standard, ensign, pennant, streamer
小旗(こばた):small flag
旗日(はたび):national holiday
旗振り(はたふり):leader; flagman; flagwaving; (in athletic competi.",Jouyou. JLPT : N1
"松
sample words:
あめりか松
男松
下がり松",まつ,"松:pine
あめりか松(あめりかまつ):common Douglas fir (Pseudotsuga menziesii)
男松(おまつ):black pine
下がり松(さがりまつ):drooping pine",Jouyou. JLPT : N1
"梅
sample words:
梅しそ
梅の実
梅見",うめ,"梅:plum, plum tree
梅しそ(うめしそ):Japanese apricot and shiso
梅の実(うめのみ):Japanese apricot; ume
梅見(うめみ):plum-blossom viewing",Jouyou. JLPT : N1
"腸
sample words:
海鼠腸
背腸
腸香",わた,"腸:intestines, bowels, entrails; digestive system in.
海鼠腸(このわた):salted entrails of a trepang; salted entrails of .
背腸(せわた):digestive tract of a shrimp; vein of a shrimp (pr.
腸香(わたか):Ischikauia steenackeri (species of cyprinid fish)",Jouyou. JLPT : N1
"腸
sample words:
腸の腐った
腸が煮え繰り返る",はらわた,"腸:intestines, bowels, entrails; digestive system in.
腸の腐った(はらわたのくさった):vicious; corrupt; depraved
腸が煮え繰り返る(はらわたがにえくりかえる):to be furious; to have one's blood boiling; to se.",Jouyou. JLPT : N1
"芽
sample words:
御芽出度う
花芽
葉芽",め,"芽:sprout, spear, germ
御芽出度う(おめでとう):congratulations!; best wishes!; all the best!; we.
花芽(はなめ):flower bud
葉芽(はめ):leaf bud",Jouyou. JLPT : N1
"街
sample words:
眠らない街
街着
街こん",まち,"街:town; quarters; street
眠らない街(ねむらないまち):city that never sleeps
街着(まちぎ):townwear; street clothes
街こん(まちこん):group dating; gathering for young people to socia.",Jouyou. JLPT : N1
"郡
sample words:
郡の司
郡造
郡山女子大学",こおり,"郡:county, district
郡の司(こおりのつかさ):district governor (under the ritsuryo system)
郡造(こおりのみやつこ):director of a district (ritsuryo system)
郡山女子大学(こおりやまじょしだいがく):Kooriyama Women's University",Jouyou. JLPT : N1
"鏡
sample words:
柄鏡
鏡獅子
鏡立て",かがみ,"鏡:mirror; speculum; barrelhead; round rice-cake off.
柄鏡(えかがみ):traditional mirror with a handle, popular since t.
鏡獅子(かがみじし):Kagamijishi
鏡立て(かがみたて):mirror stand",Jouyou. JLPT : N1
"俵
sample words:
上げ俵
米俵
炭俵",たわら,"俵:bag, bale, sack; bag counter
上げ俵(あげだわら):4 corner bales on the outer rim of the sumo ring
米俵(こめだわら):bag of rice
炭俵(すみだわら):sack for charcoal",Jouyou. JLPT : N1
"墓
sample words:
墓荒らし
墓じまい
墓場",はか,"墓:grave, tomb
墓荒らし(はかあらし):grave-robbing
墓じまい(はかじまい):dismantling a (family) tomb
墓場(はかば):cemetery; graveyard",Jouyou. JLPT : N1
"序
sample words:
事の序で
序でが有る
序に",ついで,"序:beginning; preface; order, precedence; farewell a.
事の序で(ことのついで):take the opportunity to (do something else)
序でが有る(ついでがある):to have occasion to do
序に(ついでに):when; while (one is at it); on one's way (to); by..",Jouyou. JLPT : N1
"桜
sample words:
小桜いんこ
桜咲く
桜の木",さくら,"桜:flowering cherry; cherry blossoms; pink color; ho.
小桜いんこ(こざくらいんこ):rosy-faced lovebird (Agapornis roseicollis)
桜咲く(さくらさく):to pass an exam
桜の木(さくらのき):cherry tree",Jouyou. JLPT : N1
"眼
sample words:
金壺眼
血眼
団栗眼",まなこ,"眼:eye
金壺眼(かなつぼまなこ):greedy look; goggle-eyes; round, sunken eyes
血眼(ちまなこ):(doing something in a) frenzy; bloodshot eyes
団栗眼(どんぐりまなこ):goggle-eyes",Jouyou. JLPT : N1
"眼
sample words:
青眼狗母魚
血眼
眼がさえる",め,"眼:eye
青眼狗母魚(あおめえそ):Chlorophthalmus albatrossis (species of greeneye)
血眼(ちめ):bloodshot eyes; (doing something in a) frenzy
眼がさえる(めがさえる):to be wakeful; to be unable to sleep; to be wide-.",Jouyou. JLPT : N1
"素
sample words:
味の素
素牛
素より",もと,"素:principle; element. naked, uncovered, simple
味の素(あじのもと):Ajinomoto Co. Inc.; brand name of monosodium glut.
素牛(もとうし):calf (before it is fattened or used for breeding,.
素より(もとより):from the beginning; not to mention ...; all along..",Jouyou. JLPT : N1
"織
sample words:
浮き織り
織りあげる
織り子",おり,"織:weave
浮き織り(うきおり):brocade
織りあげる(おりあげる):to weave up into fabric
織り子(おりこ):weaver",Jouyou. JLPT : N1
"肥
sample words:
草肥
肥土
肥え太る",こえ,"肥:get fat; get fertile. fertilize, enrich; fatten; ..
草肥(くさごえ):compost
肥土(こえつち):rich soil
肥え太る(こえふとる):to grow fat",Jouyou. JLPT : N1
"舌
sample words:
舌が肥える
舌先
舌代",した,"舌:tongue; reed; clapper
舌が肥える(したがこえる):to be particular about one's food; to have a disc.
舌先(したさき):tip of tongue
舌代(しただい):a notice",Jouyou. JLPT : N1
"酸
sample words:
甘酸っぱい
黒酸塊
酸っぱい",す,"酸:sour, acid, tart
甘酸っぱい(あまずっぱい):sweet and sour; bittersweet
黒酸塊(くろすぐり):blackcurrant (Ribes nigrum)
酸っぱい(すっぱい):acid; sour",Jouyou. JLPT : N1
"傷
sample words:
傷を縫う
小傷
手傷",きず,"傷:wound, injury, hurt; cut, gash, bruise, scratch; ....
傷を縫う(きずをぬう):to stitch up a wound
小傷(こきず):small amount of damage; small scratch
手傷(てきず):wound (suffered in a fight)",Jouyou. JLPT : N1
"創
sample words:
切創
手創",きず,"創:wound, injury, hurt; cut, gash, bruise, scratch; .
切創(きりきず):gash; cut; incision
手創(てきず):wound (suffered in a fight)",Jouyou. JLPT : N1
"姿
sample words:
絵姿
姿絵
姿を消す",すがた,"姿:figure, form, shape; appearance, attire; posture;.
絵姿(えすがた):portrait
姿絵(すがたえ):portrait
姿を消す(すがたをけす):to disappear; to vanish",Jouyou. JLPT : N1
"宗
sample words:
独眼竜政宗
正宗",むね,"宗:religion, sect, denomination
独眼竜政宗(どくがんりゅうまさむね):Dokuganryu Masamune (NHK Taiga drama, 1987)
正宗(まさむね):sake; brand of sake from Nada region during Tenpo..",Jouyou. JLPT : N1
"己
sample words:
己と
己に克つ
己を捨てる",おのれ,"己:oneself, myself, yourself
己と(おのれと):all by itself; naturally; spontaneous; all by one.
己に克つ(おのれにかつ):to control oneself
己を捨てる(おのれをすてる):to set aside one's interests",Jouyou. JLPT : N1
"我
sample words:
我が子
我家
我が世の春",わが,"我:I, oneself, self, ego
我が子(わがこ):one's own child; one's own children
我家(わがや):one's family; one's home; one's house
我が世の春(わがよのはる):prime; heyday; one's glory; the height of one's p.",Jouyou. JLPT : N1
"我
sample words:
我御料
我人
我人ども",わ,"我:I, oneself, self, ego
我御料(わごりょ):you
我人(わひと):you
我人ども(わひとども):you (usu. plural)",Jouyou. JLPT : N1
"株
sample words:
雄株
株分け
株を買う",かぶ,"株:stump; shares, stocks; connections; business; cou.
雄株(おかぶ):male plant
株分け(かぶわけ):root division
株を買う(かぶをかう):to buy stock",Jouyou. JLPT : N1
"樹
sample words:
樹樹
樹蜂
夜合樹",き,"樹:tree, wood
樹樹(きぎ):(many) trees; all kinds of trees; every tree
樹蜂(きばち):wood wasp
夜合樹(ねむのき):silk tree (Albizia julibrissin)",Jouyou. JLPT : N1
"源
sample words:
河の源",みなもと,"源:source, origin
河の源(かわのみなもと):fountainhead",Jouyou. JLPT : N1
"潮
sample words:
潮汁
潮煮",うしお,"潮:tide; salt water; opportunity
潮汁(うしおじる):thin soup of fish or shellfish boiled in seawater
潮煮(うしおに):fish, shellfish, etc. boiled in salted water",Jouyou. JLPT : N1
"穴
sample words:
穴子
穴を空ける
毛穴",あな,"穴:hole, aperture, slit; gap, stop (of musical instr...
穴子(あなご):conger eel (esp. the common Japanese conger, Cong.
穴を空ける(あなをあける):to cause a loss; to make a hole (in)
毛穴(けあな):pore (of the skin)",Jouyou. JLPT : N1
"筋
sample words:
筋子
筋の通った
筋を違える",すじ,"筋:muscle; sinew, tendon; vein; fiber; string; line;....
筋子(すじこ):salted salmon roe
筋の通った(すじのとおった):rational; coherent; logical
筋を違える(すじをちがえる):to pull a muscle; to strain a muscle",Jouyou. JLPT : N1
"絹
sample words:
絹絵
絹ごし豆腐
絹地",きぬ,"絹:silk, silk thread
絹絵(きぬえ):picture on silk
絹ごし豆腐(きぬごしどうふ):silken tofu; soft tofu
絹地(きぬじ):silk fabrics",Jouyou. JLPT : N1
"縦
sample words:
縦穴
縦挽き
縦ひき鋸",たて,"縦:length, height, warp
縦穴(たてあな):pit; shaft
縦挽き(たてひき):ripsaw
縦ひき鋸(たてひきのこ):ripsaw",Jouyou. JLPT : N1
"訳
sample words:
言訳
仕訳
仕訳ける",わけ,"訳:meaning, sense; reason, cause; circumstances, the.
言訳(いいわけ):excuse; explanation
仕訳(しわけ):assortment journalizing (in bookkeeping); classif.
仕訳ける(しわける):to assort; to journalise; to classify; to journal.",Jouyou. JLPT : N1
"誠
sample words:
誠しやか
誠に
誠にもって",まこと,"誠:sincerity, honesty, fidelity; truth
誠しやか(まことしやか):specious; seemingly truthful; credible (e.g. lie).
誠に(まことに):very; indeed; absolutely; quite; actually; truly;.
誠にもって(まことにもって):honestly; in all sincerity; truthfully",Jouyou. JLPT : N1
"且
sample words:
且又
尚且つ",かつ,"且:also, furthermore
且又(かつまた):furthermore; besides; moreover
尚且つ(なおかつ):and yet; besides; on top of that; even so; furthe.",Jouyou. JLPT : N1
"丘
sample words:
嵐が丘
丘辺
丘葦鴨",おか,"丘:hill, knoll, rising ground
嵐が丘(あらしがおか):Wuthering Heights (novel by Emily Bronte)
丘辺(おかべ):vicinity of a hill
丘葦鴨(おかよしがも):gadwall (Anas strepera)",Jouyou. JLPT : N1
"偽
sample words:
偽あか
偽金
偽首",にせ,"偽:lie, falsity; deceive; pretend; cheat; sham, coun.
偽あか(にせあか):fake account (e.g. on social media)
偽金(にせがね):counterfeit money
偽首(にせくび):falsified severed head",Jouyou. JLPT : N1
"傍
sample words:
お傍
傍から
傍近く",そば,"傍:side; besides; while
お傍(おそば):attendant; while; besides; beside; retainer; clos.
傍から(そばから):as soon as; right after
傍近く(そばちかく):nearby",Jouyou. JLPT : N1
"傍
sample words:
傍らに
傍らに寄る
傍らに人無きが如し",かたわら,"傍:side; besides; while
傍らに(かたわらに):nearby; beside
傍らに寄る(かたわらによる):to step aside
傍らに人無きが如し(かたわらにひとなきがごとし):behaving outrageously as though there were no one..",Jouyou. JLPT : N1
"傘
sample words:
傘地
傘立て
傘ふり場",かさ,"傘:umbrella, parasol
傘地(かさじ):umbrella cloth
傘立て(かさたて):umbrella stand
傘ふり場(かさふりば):stand for drying umbrellas",Jouyou. JLPT : N1
"冠
sample words:
茨の冠
御冠
冠水母類",かんむり,"冠:crown, diadem; a top character radical
茨の冠(いばらのかんむり):a crown of thorns
御冠(おかんむり):bad temper; bad mood
冠水母類(かんむりくらげるい):coronated jellyfish; crown jellyfish (Coronatae s.",Jouyou. JLPT : N1
"刃
sample words:
出刃
刃針
刃向かう",は,"刃:blade, edge
出刃(でば):pointed carver; knife
刃針(はばり):lancet
刃向かう(はむかう):to turn on; to oppose; to rise against; to bite b.",Jouyou. JLPT : N1
"剣
sample words:
月の剣
剣の舞
剣を抜く",つるぎ,"剣:sword
月の剣(つきのつるぎ):new moon; crescent moon
剣の舞(つるぎのまい):Sabre Dance
剣を抜く(つるぎをぬく):to draw a sword",Jouyou. JLPT : N1
"卸
sample words:
卸器
卸売物価指数",おろし,"卸:sell at wholesale; grated (vegetables); wholesale
卸器(おろしき):grater
卸売物価指数(おろしうりぶっかしすう):WPI; wholesale price index",Jouyou. JLPT : N1
"又
sample words:
勝利又勝利
又会う日迄
又請け",また,"又:again, and, furthermore; on the other hand
勝利又勝利(しょうりまたしょうり):victory after victory
又会う日迄(またあうひまで):till we meet again
又請け(またうけ):subcontract",Jouyou. JLPT : N1
"及
sample words:
及び難い
及び腰
及びも付かぬ",および,"及:exert, exercise, cause; reach, come up to, amount..
及び難い(およびがたい):hard to attain to
及び腰(およびごし):bent back; indecisive attitude; timidity; lack of.
及びも付かぬ(およびもつかぬ):no match for; far beyond one's power; not at all .",Jouyou. JLPT : N1
"唄
sample words:
雨に唄えば
下座唄
地唄",うた,"唄:songs accompanied by the samisen
雨に唄えば(あめにうたえば):Singin' in the Rain (1952 film and song)
下座唄(げざうた):song sung behind the scenes (kabuki)
地唄(じうた):(style of) folk song",Jouyou. JLPT : N1
"唇
sample words:
唇を奪う
下唇
鱈子唇",くちびる,"唇:lip
唇を奪う(くちびるをうばう):to steal a kiss; to snatch a kiss
下唇(したくちびる):lower lip
鱈子唇(たらこくちびる):thick lips; full lips",Jouyou. JLPT : N1
