Question,Answer,Comment,Instruction,Render As
"かわいがっている犬。ふつうは飼い犬を指す。"	"愛犬,あいけん"	"かわいがっている犬。ふつうは飼い犬を指す。"	Guess the Word or Reading	Text
"多く、物事の区切り、転機などの意味で用いられる表現。特に「人生の||節||＊」の言い回しで用いられる。マーケティングでは進学や結婚などに伴い生じる需要を「||節||＊需要」と呼ぶ、"	"節目,ふしめ"	"多く、物事の区切り、転機などの意味で用いられる表現。特に「人生の節目」の言い回しで用いられる。マーケティングでは進学や結婚などに伴い生じる需要を「節目需要」と呼ぶ、"	Guess the Word or Reading	Text
"何かを少しずつ貯めたり、蓄えたりすること、を意味する表現。「積み立て」「||積||＊て」などとも書く。"	"積立,つみたて"	"何かを少しずつ貯めたり、蓄えたりすること、を意味する表現。「積み立て」「積立て」などとも書く。"	Guess the Word or Reading	Text
"主に非力な者の振る舞いが甲斐甲斐しい様子などを意味する表現。"	"健気,けなげ"	"主に非力な者の振る舞いが甲斐甲斐しい様子などを意味する表現。"	Guess the Word or Reading	Text
"留守宅に忍び込んで盗みばたらきをすること。またはそうした行為をする者。||空||＊＊狙い。原義は鳥が巣立つなどして空になった鳥の巣。"	"空き巣,あきす"	"留守宅に忍び込んで盗みばたらきをすること。またはそうした行為をする者。空き巣狙い。原義は鳥が巣立つなどして空になった鳥の巣。"	Guess the Word or Reading	Text
"大きな成功を収めること、非常に良い結果となったこと、などを意味する表現。"	"大成功,だいせいこう"	"大きな成功を収めること、非常に良い結果となったこと、などを意味する表現。"	Guess the Word or Reading	Text
"役満の1つ。面前でピンズの2から8までを2牌ずつ揃えた手牌のこと。"	"大車輪,だいしゃりん"	"役満の1つ。面前でピンズの2から8までを2牌ずつ揃えた手牌のこと。"	Guess the Word or Reading	Text
"主にオリンピック競技大会、競技に出場する選手のために用意された宿泊施設を指す語。"	"選手村,せんしゅむら"	"主にオリンピック競技大会、競技に出場する選手のために用意された宿泊施設を指す語。"	Guess the Word or Reading	Text
"人生に関するものの考え方を意味する語。人生とはこういうものだ、こうあるべきだといった事柄を指すことが多い。生き様や生き方全般を指すことも多い。"	"人生観,じんせいかん"	"人生に関するものの考え方を意味する語。人生とはこういうものだ、こうあるべきだといった事柄を指すことが多い。生き様や生き方全般を指すことも多い。"	Guess the Word or Reading	Text
"必要となる程度をあらかじめ予測して算出すること。作業時間や行程、費用などについて言うことが多い。"	"見積り,みつもり,見積もり,みつもり"	"必要となる程度をあらかじめ予測して算出すること。作業時間や行程、費用などについて言うことが多い。"	Guess the Word or Reading	Text
"土木・建築に関連する事業を請け負う事業者を指す俗称。土方などとも呼ばれる。"	"土建屋,どけんや"	"土木・建築に関連する事業を請け負う事業者を指す俗称。土方などとも呼ばれる。"	Guess the Word or Reading	Text
"世に出ない優れた人物を形容する語。元々は、世に並ぶ者はなかろうと思われるほど優れた人物を形容する表現である。これほど優れた人物はめったにいない、あるいは、世に現れたためしがないほどである、という意味であり、「絶世の」「後にも先にもいない」などの表現の類義語と言える。最近では、世に認められることがなかった、不遇に終わった、といった意味で「||不||＊＊の天才」のような表現が用いられている例も見られる。ちなみに、「世に出る」という表現は、生まれることも、世間に認められることも、両方とも意味しうる。"	"不世出,ふせいしゅつ"	"世に出ない優れた人物を形容する語。元々は、世に並ぶ者はなかろうと思われるほど優れた人物を形容する表現である。これほど優れた人物はめったにいない、あるいは、世に現れたためしがないほどである、という意味であり、「絶世の」「後にも先にもいない」などの表現の類義語と言える。最近では、世に認められることがなかった、不遇に終わった、といった意味で「不世出の天才」のような表現が用いられている例も見られる。ちなみに、「世に出る」という表現は、生まれることも、世間に認められることも、両方とも意味しうる。"	Guess the Word or Reading	Text
"少しもお金を持っていないさま、または少しもお金を持っていない人を指す語。「一文無し」「文無し」などとも言う。"	"無一文,むいちもん"	"少しもお金を持っていないさま、または少しもお金を持っていない人を指す語。「一文無し」「文無し」などとも言う。"	Guess the Word or Reading	Text
"イギリスの作家が言葉で表現して作り上げた小説や詩などの芸術作品のこと。"	"英文学,えいぶんがく"	"イギリスの作家が言葉で表現して作り上げた小説や詩などの芸術作品のこと。"	Guess the Word or Reading	Text
"||試||＊＊とは、物事の本当の価値や成否の行方などを見極めるための指標となる事柄、という意味で用いられる表現。それまでは暫定的であった評価を決することになる、判定基準となる事。「今後の成否の行方を占う||試||＊＊となる」といった言い回しで用いられることが多い。||試||＊＊は、人の能力、商品の価値、あるいは計画の成否などについて、これで評価が決まるという出来事を指す表現である。文脈にもよるが「真価が問われる」「真の実力が試される」「成否の分かれ目となる」「分水嶺となる」といった意味合いを込めて用いられる。"	"試金石,しきんせき"	"試金石とは、物事の本当の価値や成否の行方などを見極めるための指標となる事柄、という意味で用いられる表現。それまでは暫定的であった評価を決することになる、判定基準となる事。「今後の成否の行方を占う試金石となる」といった言い回しで用いられることが多い。試金石は、人の能力、商品の価値、あるいは計画の成否などについて、これで評価が決まるという出来事を指す表現である。文脈にもよるが「真価が問われる」「真の実力が試される」「成否の分かれ目となる」「分水嶺となる」といった意味合いを込めて用いられる。"	Guess the Word or Reading	Text
"「協力」に丁寧の「御」をつけた表現。多くの場合、相手の協力を尊んで言う。"	"ご協力,ごきょうりょく"	"「協力」に丁寧の「御」をつけた表現。多くの場合、相手の協力を尊んで言う。"	Guess the Word or Reading	Text
"去年から今まで。昨年以来。"	"昨年来,さくねんらい"	"去年から今まで。昨年以来。"	Guess the Word or Reading	Text
"正式に開かれる会議。重要な決定などが||本||＊＊で行われる。例として、衆議院議員が全員参加する衆院||本||＊＊（衆議院||本||＊＊）など。"	"本会議,ほんかいぎ"	"正式に開かれる会議。重要な決定などが本会議で行われる。例として、衆議院議員が全員参加する衆院本会議（衆議院本会議）など。"	Guess the Word or Reading	Text
"太陽の光のこと、を意味する表現。||日||＊＊。"	"日差し,ひざし"	"太陽の光のこと、を意味する表現。日差し。"	Guess the Word or Reading	Text
"(1)数多くの学者や知識人が、それぞれの思想や見解に基づき意見を戦わせ、大いに議論を繰り広げること。(2)1950年代に中国で繰り広げられた政治的運動「百花斉放||百||＊＊＊」の略。"	"百家争鳴,ひゃっかそうめい"	"(1)数多くの学者や知識人が、それぞれの思想や見解に基づき意見を戦わせ、大いに議論を繰り広げること。(2)1950年代に中国で繰り広げられた政治的運動「百花斉放百家争鳴」の略。"	Guess the Word or Reading	Text
"運動量が、健康増進のために推奨される運動量や、健康の維持のために最低限必要とされる運動量に対して足りないさま。運動していない様子。"	"運動不足,うんどうぶそく"	"運動量が、健康増進のために推奨される運動量や、健康の維持のために最低限必要とされる運動量に対して足りないさま。運動していない様子。"	Guess the Word or Reading	Text
"人や物、事象や概念などに名前をつけること。新たに命名して対象を把握すること。"	"名付ける,なづける"	"人や物、事象や概念などに名前をつけること。新たに命名して対象を把握すること。"	Guess the Word or Reading	Text
"死ぬ気のない相手に心中を強いること。無理やり相手を道連れにする心中。相手をまず殺害してから自殺に及ぶ場合が多い。"	"無理心中,むりしんじゅう"	"死ぬ気のない相手に心中を強いること。無理やり相手を道連れにする心中。相手をまず殺害してから自殺に及ぶ場合が多い。"	Guess the Word or Reading	Text
"作成したもののの出来上がりの良さ、具合などを指す表現。"	"出来栄え,できばえ"	"作成したもののの出来上がりの良さ、具合などを指す表現。"	Guess the Word or Reading	Text
"乗車定員を超過して乗客が乗り込んでいる電車。満員の電車。特に通勤ラッシュの時間帯などにおける、ぎゅうぎゅう詰めの混雑した電車。"	"満員電車,まんいんでんしゃ"	"乗車定員を超過して乗客が乗り込んでいる電車。満員の電車。特に通勤ラッシュの時間帯などにおける、ぎゅうぎゅう詰めの混雑した電車。"	Guess the Word or Reading	Text
"人と人との関係・人間どうしの付き合い、などを意味する表現。"	"人間関係,にんげんかんけい"	"人と人との関係・人間どうしの付き合い、などを意味する表現。"	Guess the Word or Reading	Text
"(1)前置きなしにいきなり本題に入ること、物事の本質。(2)戦場に一人で刀を持って飛び込むことを意味する表現。"	"単刀直入,たんとうちょくにゅう"	"(1)前置きなしにいきなり本題に入ること、物事の本質。(2)戦場に一人で刀を持って飛び込むことを意味する表現。"	Guess the Word or Reading	Text
"||民||＊＊＊とは、||民||＊＊＊法により規定された非常勤の地方公務員のことで、地域に密着し住民からの福祉に関する相談に乗ったり、援助を行ったりして社会福祉の発展に努める人のことである。任期は3年で再任が可能となっている。なお、||民||＊＊＊は児童福祉法により児童委員を兼ねる。地方公務員の立場にあるが、給与の支給はない。||民||＊＊＊になるには、20歳以上で市町村議会議員の選挙権を有することが条件で、都道府県知事の推薦を受けた後、厚生労働大臣から委嘱される。2017年の時点で約23万人が||民||＊＊＊として活動している。男女の内訳は男性が約9万人、女性が約14万人と女性が多い。関連サイト：||民||＊＊＊法（e-Gov）"	"民生委員,みんせいいいん"	"民生委員とは、民生委員法により規定された非常勤の地方公務員のことで、地域に密着し住民からの福祉に関する相談に乗ったり、援助を行ったりして社会福祉の発展に努める人のことである。任期は3年で再任が可能となっている。なお、民生委員は児童福祉法により児童委員を兼ねる。地方公務員の立場にあるが、給与の支給はない。民生委員になるには、20歳以上で市町村議会議員の選挙権を有することが条件で、都道府県知事の推薦を受けた後、厚生労働大臣から委嘱される。2017年の時点で約23万人が民生委員として活動している。男女の内訳は男性が約9万人、女性が約14万人と女性が多い。関連サイト：民生委員法（e-Gov）"	Guess the Word or Reading	Text
"||三||＊＊＊（||さ||＊＊＊＊＊＊）とは、基本的にはキリスト教における「神と子と聖霊の三位は元来一体である」という教理のこと、あるいは、通俗的には「3つでひとつ」「3つのものが不可分に連携・協調・一体化する」という意味合いで用いられる表現。「||三||＊＊＊」の「三位」は、（「さん-い」の連声によって）「さんみ」とする読み方が定着している。"	"三位一体,さんみいったい"	"三位一体（さんみいったい）とは、基本的にはキリスト教における「神と子と聖霊の三位は元来一体である」という教理のこと、あるいは、通俗的には「3つでひとつ」「3つのものが不可分に連携・協調・一体化する」という意味合いで用いられる表現。「三位一体」の「三位」は、（「さん-い」の連声によって）「さんみ」とする読み方が定着している。"	Guess the Word or Reading	Text
"||自||＊＊＊（||じ||＊＊＊＊＊＊）とは、生活などに必要な物資の用意を外部に求めることなく、自ら生産してまかなうこと、あるいは、それで生活が満ち足りているさま。生活を意味する語。要は、既製品を購入するのではなく、自分で作ったり自然の中から採取したりする生き方。 たとえば自分で米や野菜を作る、山川から山菜・薪・川魚などを得る、衣服や家具を自作する、といった営みが「||自||＊＊＊」の典型といえる。個人の営みだけでなく、たとえば国や貿易に依存せず国内生産だけで市場を維持できているような状況を指して用いることもできる。"	"自給自足,じきゅうじそく"	"自給自足（じきゅうじそく）とは、生活などに必要な物資の用意を外部に求めることなく、自ら生産してまかなうこと、あるいは、それで生活が満ち足りているさま。生活を意味する語。要は、既製品を購入するのではなく、自分で作ったり自然の中から採取したりする生き方。 たとえば自分で米や野菜を作る、山川から山菜・薪・川魚などを得る、衣服や家具を自作する、といった営みが「自給自足」の典型といえる。個人の営みだけでなく、たとえば国や貿易に依存せず国内生産だけで市場を維持できているような状況を指して用いることもできる。"	Guess the Word or Reading	Text
"||心||＊＊＊は、（何らかのきっかけがあって）気持ちがすっかり変わること、を意味する語。「わだかまった気持ちをリセットする」というニュアンスを込めて用いられることが多い。外部の要因によって「気持ちが切り替わる」ことを指す場合もあれば、自身の意向によって「気持ちを切り替える」ことを指す場合もある。「心機」は「心の動き」や「気持ち」を意味する語。同じく「気持ち」を意味する語に「心気」もあるが、||心||＊＊＊を「心気一転」とは書かない。心気一転は誤り。"	"心機一転,しんきいってん"	"心機一転は、（何らかのきっかけがあって）気持ちがすっかり変わること、を意味する語。「わだかまった気持ちをリセットする」というニュアンスを込めて用いられることが多い。外部の要因によって「気持ちが切り替わる」ことを指す場合もあれば、自身の意向によって「気持ちを切り替える」ことを指す場合もある。「心機」は「心の動き」や「気持ち」を意味する語。同じく「気持ち」を意味する語に「心気」もあるが、心機一転を「心気一転」とは書かない。心気一転は誤り。"	Guess the Word or Reading	Text
"||手||＊＊＊は、（人を騙すための）巧みな技や方法のこと、または、そうした技で巧妙に人を騙すこと。もっぱら「||て||＊＊＊＊＊」と読むが、「しゅれんてくだ」とも読まれる。"	"手練手管,てれんてくだ"	"手練手管は、（人を騙すための）巧みな技や方法のこと、または、そうした技で巧妙に人を騙すこと。もっぱら「てれんてくだ」と読むが、「しゅれんてくだ」とも読まれる。"	Guess the Word or Reading	Text
"物を上に乗せて積んでいき、かさを増すさま。成果物を順次加えていくさま。"	"積み上げ,つみあげ"	"物を上に乗せて積んでいき、かさを増すさま。成果物を順次加えていくさま。"	Guess the Word or Reading	Text
"通常「小気味好い」や「小気味よい」とも書く。さわやかで快いさまを表す。"	"小気味良い,こきみよい"	"通常「小気味好い」や「小気味よい」とも書く。さわやかで快いさまを表す。"	Guess the Word or Reading	Text
"驚嘆するような、眼を見張るような立派さ・すばらしさを形容する表現。"	"目覚ましい,めざましい"	"驚嘆するような、眼を見張るような立派さ・すばらしさを形容する表現。"	Guess the Word or Reading	Text
"||一||＊＊＊＊＊とは、「ひとつひとつの動作」「細かな動作のひとつひとつ」、または「ほんの些細な労力」を意味する表現。語源である中国の古典（「應科目時與人書」）では「||一||＊＊＊＊＊の労を惜しむ」というような記述に用いられており、「ほんの些細な労力」という意味合いの方が本来の意味に近いといえる。昨今ではもっぱら「どんなに小さな動作でもことごとく（注目される）」というような文脈で用いられている。「||一||＊＊＊＊＊」を英語で表現する場合、「ひとつひとつの動作」という意味なら? every action 、「わずかな労力」という意味なら slight effort のような言い方で表現できる。"	"一挙手一投足,いっきょしゅいっとうそく"	"一挙手一投足とは、「ひとつひとつの動作」「細かな動作のひとつひとつ」、または「ほんの些細な労力」を意味する表現。語源である中国の古典（「應科目時與人書」）では「一挙手一投足の労を惜しむ」というような記述に用いられており、「ほんの些細な労力」という意味合いの方が本来の意味に近いといえる。昨今ではもっぱら「どんなに小さな動作でもことごとく（注目される）」というような文脈で用いられている。「一挙手一投足」を英語で表現する場合、「ひとつひとつの動作」という意味なら? every action 、「わずかな労力」という意味なら slight effort のような言い方で表現できる。"	Guess the Word or Reading	Text
"戦争が終わった後。終||戦||＊。日本国内では、もっぱら第二次世界大戦（太平洋戦争）終戦以降の期間を指す。「現在の日本に直結する経済的営み（経済成長）が開始されてから、現在に至るまで」といった意味合いで用いられることが多い。||戦||＊の記録上、最も程度が甚だしいことを「||戦||＊最大の」とか「||戦||＊最悪の」とか表現することがある。"	"戦後,せんご"	"戦争が終わった後。終戦後。日本国内では、もっぱら第二次世界大戦（太平洋戦争）終戦以降の期間を指す。「現在の日本に直結する経済的営み（経済成長）が開始されてから、現在に至るまで」といった意味合いで用いられることが多い。戦後の記録上、最も程度が甚だしいことを「戦後最大の」とか「戦後最悪の」とか表現することがある。"	Guess the Word or Reading	Text
"管轄区域の内、という意味の表現。「東京電力の||管||＊」などという具合に使われる。"	"管内,かんない"	"管轄区域の内、という意味の表現。「東京電力の管内」などという具合に使われる。"	Guess the Word or Reading	Text
"多数の人で順番に持ち回り制にすること。または、ある地域や区分などについて順番に何かを行ったり、何かを担当したりすること。「||輪||＊制」「||輪||＊停電」などという具合に使われる。"	"輪番,りんばん"	"多数の人で順番に持ち回り制にすること。または、ある地域や区分などについて順番に何かを行ったり、何かを担当したりすること。「輪番制」「輪番停電」などという具合に使われる。"	Guess the Word or Reading	Text
"宗派の代表者。神道や仏教の各宗派について言う。"	"管長,かんちょう"	"宗派の代表者。神道や仏教の各宗派について言う。"	Guess the Word or Reading	Text
"米を挽いて粉末状にしたもの。白玉粉や上新粉などと呼ばれる。最近は小麦粉の変わりに||米||＊を用い、||米||＊クッキー、||米||＊パン、||米||＊うどんなどにすることも多い。米粒のまま食べることを粒食と言うのに対し、||米||＊にして食べることを粉食という。"	"米粉,こめこ"	"米を挽いて粉末状にしたもの。白玉粉や上新粉などと呼ばれる。最近は小麦粉の変わりに米粉を用い、米粉クッキー、米粉パン、米粉うどんなどにすることも多い。米粒のまま食べることを粒食と言うのに対し、米粉にして食べることを粉食という。"	Guess the Word or Reading	Text
"意図を伝えるために便宜的にとられる表現や手段のこと。元々は仏教において聞き手の能力に応じて説かれた教えを指す。"	"方便,ほうべん"	"意図を伝えるために便宜的にとられる表現や手段のこと。元々は仏教において聞き手の能力に応じて説かれた教えを指す。"	Guess the Word or Reading	Text
"水分が比較的少ない、さらさらとした粉状の雪。"	"粉雪,こなゆき"	"水分が比較的少ない、さらさらとした粉状の雪。"	Guess the Word or Reading	Text
"秋の初め頃、夏が過ぎて秋が訪れる頃、を意味する語。新秋、孟秋、新涼などとも言う。"	"初秋,しょしゅう"	"秋の初め頃、夏が過ぎて秋が訪れる頃、を意味する語。新秋、孟秋、新涼などとも言う。"	Guess the Word or Reading	Text
"出産した後。||産||＊の肥立ちが悪い、などのような表現で用いられる言い方。"	"産後,さんご"	"出産した後。産後の肥立ちが悪い、などのような表現で用いられる言い方。"	Guess the Word or Reading	Text
"鳥をかわいがり、いつくしむこと。「愛犬」「愛猫」とは異なり、家禽よりも野禽に対して言うことが多い。"	"愛鳥,あいちょう"	"鳥をかわいがり、いつくしむこと。「愛犬」「愛猫」とは異なり、家禽よりも野禽に対して言うことが多い。"	Guess the Word or Reading	Text
"おおむね深夜0時から午前3時頃の時間帯を指す語。午前3時過ぎから午前6時頃までは明け方という。"	"未明,みめい"	"おおむね深夜0時から午前3時頃の時間帯を指す語。午前3時過ぎから午前6時頃までは明け方という。"	Guess the Word or Reading	Text
"国旗掲揚の作法のうち、主に要人の死に際して弔意の表明として行われる掲揚方法。最上部まで掲揚した後に竿の半ばまで降ろす形で掲揚される。サウジアラビアなどの例外を除いて世界中で行われている。"	"半旗,はんき"	"国旗掲揚の作法のうち、主に要人の死に際して弔意の表明として行われる掲揚方法。最上部まで掲揚した後に竿の半ばまで降ろす形で掲揚される。サウジアラビアなどの例外を除いて世界中で行われている。"	Guess the Word or Reading	Text
"政策を始めとする物事の計画に参加することを意味する語。"	"参画,さんかく"	"政策を始めとする物事の計画に参加することを意味する語。"	Guess the Word or Reading	Text
"高校をすでに卒業していること、後期中等教育を修了していることを意味する語。"	"高卒,こうそつ"	"高校をすでに卒業していること、後期中等教育を修了していることを意味する語。"	Guess the Word or Reading	Text
"（1） 地面の底、地中深いところを意味する語。地下資源について言及するような場面で用いられる。（2）俗に「地方にある旧帝国大学」を指して用いられる言い方。東大・京大を除く、北大、東北大、名大、九大などを総称する言い方として用いられることがある。なお阪大の立ち位置は微妙である。"	"地底,ちてい"	"（1） 地面の底、地中深いところを意味する語。地下資源について言及するような場面で用いられる。（2）俗に「地方にある旧帝国大学」を指して用いられる言い方。東大・京大を除く、北大、東北大、名大、九大などを総称する言い方として用いられることがある。なお阪大の立ち位置は微妙である。"	Guess the Word or Reading	Text
"よく知りたいという積極的な気持ち、の意味で用いられる語。「興味」とも言い換えられる。たいてい「||関||＊を持つ」「||関||＊を抱く」あるいは「||関||＊を引く」といった言い回しにおいて用いられる。同音の「感心」は、心を動かされ賞賛したい気持ちになるさまを指す語であり、語義が異なる。同じく「歓心」も嬉しく思う気持ちを指す語であり語義は異なる。"	"関心,かんしん"	"よく知りたいという積極的な気持ち、の意味で用いられる語。「興味」とも言い換えられる。たいてい「関心を持つ」「関心を抱く」あるいは「関心を引く」といった言い回しにおいて用いられる。同音の「感心」は、心を動かされ賞賛したい気持ちになるさまを指す語であり、語義が異なる。同じく「歓心」も嬉しく思う気持ちを指す語であり語義は異なる。"	Guess the Word or Reading	Text
